Title,Sub Title,Price,Discount Price,Shipping Price,Shipping From,Url
"Apple MacBook Pro ""Core i7"" 3.1 13’ Early 2015 Retina Display 16GB RAM 512 SSD",Pre-Owned,$399.00,,+$296.88 , United States,https://www.ebay.com/itm/224984612959?hash=item346220c05f:g:YsgAAOSwsKtigkbH
Apple MacBook Pro 13 inch Two Thunderbolt 3 ports 2.3 GHZ 8GB 128GB SSD Damaged,Parts Only,$219.00,,+$47.65 , United States,https://www.ebay.com/itm/154998047161?hash=item24169a81b9:g:3egAAOSwXg9iJXvS
"MacBook Pro 15-Inch ""Core i7"" 2.6 Touch/Late 2016 A1707 (Read Description)",Parts Only,$399.99,,+$57.20 , United States,https://www.ebay.com/itm/403667288274?hash=item5dfc7200d2:g:swMAAOSwnLlidEyX
15 Inch Apple MacBook Pro i7 8GB 1TB SSD - Mac OS X 2017 Included + Programs!!,Very Good - Refurbished,$509.99,,+$79.00 , United States,https://www.ebay.com/itm/164468507908?epid=25015431523&hash=item264b164504:g:AEQAAOSwKhBhsVQ-
"BROKEN APPLE MACBOOK AIR 2014 13"" INTEL i5 @ 1.7GHz 4GB RAM 128GB SSD OS",Parts Only,$89.98,,+$36.00 , United States,https://www.ebay.com/itm/363848838052?hash=item54b714aba4:g:m9gAAOSw-YJijAMW
"MACBOOK PRO 16.2"" (SEE DESCRIPTION) 2021",Parts Only,"$1,549.00",,+$49.00 , United States,https://www.ebay.com/itm/403656636227?epid=2321352502&hash=item5dfbcf7743:g:EdsAAOSwtfpifqZA
"Apple MacBook Pro 13"" A1989 2018 AS IS DEFECTIVE",Parts Only,$300.00,,+$70.00 , United States,https://www.ebay.com/itm/115395384496?hash=item1ade19d4b0:g:gCQAAOSwsVtijAr5
"APPLE MACBOOK AIR 13""  A1932 FOR PARTS",Parts Only,$189.99,,+$22.00 , United States,https://www.ebay.com/itm/363848822195?hash=item54b7146db3:g:XN0AAOSw3tRii~2h
"MacBook Pro 16.2"" M1 Max 32GB 1TB SSD - MK1H3LL/A (See Description)",Parts Only,"$2,359.89",,+$66.00 , United States,https://www.ebay.com/itm/403662512373?epid=2321352524&hash=item5dfc2920f5:g:-qkAAOSwsaFigsYL
New Listing2018 APPLE MACBOOK PRO MR932LL/A I7 2.2GHZ 256GB 16GB AS IS DEFECTIVE LCD,Parts Only,$366.99,,+$49.00 , United States,https://www.ebay.com/itm/363850011194?hash=item54b726923a:g:tKgAAOSw6~9ijVH7&amdata=enc%3AAQAHAAAA4Glymvc8Vk2ga%2FNdzY55sv4zwrQlEITVXBd0tCPHnLbdVOasEE3Ok5WDJVMZTZDA8CV0aCzf0pAByiBW%2F83PmDaoYS30FzFQODa7oz3fjEK4DFR0hidqNIk5WtMeNYrUKoDhDeTDpyEFLASKrUiaRfslHky96UfSK2ri6UHEyecVxHyRJPxGjgtsrveXIwyFTKp8p6nO6Ry%2FXJ2aausNmQQPJv9sD3Hx6tAxHSLJOzZXBJQUCUEUwSJ9pOSzvJ12TibbLp0LjzUAqcPYH49MLFrLnMS42A9Ue0EoHFXsCV%2BM%7Ctkp%3ABFBM8sTdkp9g
"Apple MacBook Pro 13"" 2.4GHz 8GB 1TB - Mac OS X 2017 Added - Warranty/ Very Good",Very Good - Refurbished,$389.99,,+$81.60 , United States,https://www.ebay.com/itm/164462716109?hash=item264abde4cd:g:~0EAAOSwM6Nhp-Gf&amdata=enc%3AAQAHAAAA4ENtDdcNz%2Bgmlp7ade5%2FYiEIeR9W2OKg5IUEdL3YdBfFH9kVfVgJWTXu61Mzn5PzQGKMoIZxICy%2FAW2alc1X1zCyCwy6%2FhH3gFLwPueMfLqeVrYoVqHX4UT4xMUrD29xksgxRyxeFi7D%2FpUD37Isi11HeYev8qje5cUby4RALCJiAdoazPB4JMMA7UAjlKCkoW1iD0Mhg9jNK%2FgimRfJ%2Bf9N6RSn4lGv2vsNE9iVHlyyXZWU9AMc4KNpOoaG5apMqb8nIjPPftwG%2BSme3sKADmwY3UZowRC%2BduZEXdNKB3MG%7Ctkp%3ABFBM8sTdkp9g
Shop on eBay,Brand New,$20.00,,,,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
"2020 13"" MacBook Air - M1, 8GB, 256GB SSD! (AppleCare+ until 2024!)",Pre-Owned,$949.00,,+$70.00 , United States,https://www.ebay.com/itm/363848590557?hash=item54b710e4dd:g:47QAAOSw8A9idsWl&amdata=enc%3AAQAHAAAA4EGyKgaxjzkKFwkpR6Hzamr7eTY4UHkk%2B5TqWMtGtHzOHmkCYe8xrAXqQVJMCMJrHTjnvwXmp80%2F6B16rLepCtMmmcJw1TupWGbW81mNJzlTmAlSwTsZjlcfyXhhdubaTyx0%2FxsrQa7bdf%2BQU2Vd9mgnADCB%2B2Z2wKGe6DmdRvwIbjz%2BDFxAa7gZ7D2%2Birt79Nh8AUrkcyXnBjQuDyDv2LiXpAyrqbXeLV09focsH70OVKODGQIpnnlNxjloI%2FUgVtQAw83qYMfe%2Fuwvi62dGXcsJWCxDfk%2FZNYgozmsdtXS%7Ctkp%3ABFBMxO_dkp9g
"Apple MacBook Pro 15"" A1286 Mid-2010 2.4GHz i5-520M 4GB 500GB macOS 10.13- ZZ",Pre-Owned,$95.00,,+$74.00 , United States,https://www.ebay.com/itm/324888563062?hash=item4ba4de0d76:g:Te4AAOSwXJ5hZuhe&amdata=enc%3AAQAHAAAA4IJ40gNCkIiQQrJ7NWB2el8uICo3kmuuHjQl%2B1wDuSpgdDDG41trfFHuGhr4tzolSBtD3TWqsz4vuPuz%2BLm3jSq8%2F26fv8OrHuodHQywV2G7YYfuGZxj5KzC5%2BlngiMfrKsyFJV6pcDl9RgPqUR8a6FaC%2Fm2Z%2B%2FmI2s6wfJf0tdwKgLMEiSsjm0IW5zXwEJTHP36S4myWiBGzMHHl%2F7dORpNYyP0%2FeE%2BQHyo0pHvuqOzIEQqxOXgrU8d%2BtPIqqL0tmST17cLt7Yc7Q3ljQAdrRo2N9iakBJdo4kr7zYupcRx%7Ctkp%3ABFBMxO_dkp9g
"Apple Macbook Pro 13.3 "" I5 2.7ghz 8GB Ram 256GB SSD (Early 2015)",Pre-Owned,$449.95,,+$84.55 , United States,https://www.ebay.com/itm/224983894185?hash=item346215c8a9:g:IxcAAOSwepdifXax&amdata=enc%3AAQAHAAAA4EJzp2HJK8vRXe7VDgE0mdAhU9xHSZQHV2%2FZxU3s0XivyRxFmNF6lqAMpGAiib3hjeKkFnAmcyR3bfHIWP7fPa%2F6sWESDdtuzjpvFgKKc%2FxN1j1U7dui3C0glZa5%2BtY%2FFRKLpZSgyPpkwJpeAw91qnt9WNXheGoBUZDtSZyEDfOXB9N1ahg266E9AKh2LNKppphssb8euaGCb0GJJboHWhWTQWSNZ%2BcTfOehajgyVnI11KW1vMJLRs0jTX4Te75BrqnHwjkDQwvQO46k8e3IaB6VFI93yUf04unELYUWLkcJ%7Ctkp%3ABFBMxu_dkp9g
Apple MacBook Pro 16 inch Laptop - 64gb Ram i9 (2019),Pre-Owned,"$1,800.00",,+$50.00 , United States,https://www.ebay.com/itm/403623645808?hash=item5df9d81270:g:MfcAAOSwgdViZznk&amdata=enc%3AAQAHAAAA4LxGmP6ZjctsO4c6dwbyAecmibS1kzk5aysMlBkz9CrePyetj8I1OM5AwGvPbDKzCK674ObUg5rMbUPfXHton0M6zdLCMqFRrwIUhj1tXXrerk6cFiGr7rMhIheLefpg%2B5MSGuP6j3rGPF90VpjCOCtp8wYWIIuqYwBbZv3NurNNKcfhZ9CVJiALVDQCUmI8OU5T2O8lgiPn91XwApBVF5%2B5n1scgRojaJjoc73jJsJBnX4nJoET4nBX9Hg8nK6I7uxrTy5R46002TzwXptgAyapa12lFi5WHnJh1og2n5O5%7Ctkp%3ABFBMxu_dkp9g
"Apple MacBook Air 13.3"" 2017 A1466 Core i5-5350U 1.8GHz 8GB RAM 128GB SSD",Pre-Owned,$299.99,,+$71.85 , United States,https://www.ebay.com/itm/203957339921?epid=26045504222&hash=item2f7cce0711:g:ZbMAAOSwystigsSH
